Labels,Total,Train support,,percentage accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-k2,26,171,0.192307692307692,19.23,ras-k2 - 5,ras-k1 - 12,k2 - 4,vmod-3,k5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-k4,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-k7,3,11,0,0,ras-k2 -2,vmod-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-k7p,2,5,0,0,vmod-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-neg,8,68,0.5,50,ras-neg -4,vmod-2,r6-1,pof_cn - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-pof,1,6,0,0,ras-k1 - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-r6,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-r6-k2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbmod,6,33,0.833333333333333,83.33,rbmod-5,rbmod_relc-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbmod__relc,1,28,0,0,r6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rd,24,299,0.958333333333333,95.83,rd-23,sent-adv-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh,143,1280,1,100,rh-143,k2-5,k5 -3,k3-2,rt -2,ccof -2,vmod-1,k1s-1,pof - 1,ras-k1 - 1,k7 - 1,,,,,,,,,,,,,,,,,,,,,
rs,167,1483,0.766467065868264,76.65,rs -128,nmod-14,k2 - 11,ccof-3,vmod-2,k1s-1,r6 - 1,pof_cn -1,adv-1,k1 - 1,k7p-1,nmod_adj - 1,main-1,k7 - 1,,,,,,,,,,,,,,,,,,
rsp,21,155,0.714285714285714,71.43,rsp - 15,nmod - 4,k5-1,k7t-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsym,2753,20438,0.999273519796586,99.93,rsym - 2751,k1 -1 ,nmod-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rt,246,2077,0.869918699186992,86.99,rt - 214,k2 - 13,rh - 5,ccof - 3,k7 - 2,vmod - 2,k4 -1 ,k5 -1,k3 - 1,r6-k2 - 1,k7t - 1,rd - 1,nmod - 1,,,,,,,,,,,,,,,,,,,
rtu,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sent-adv,44,408,0.840909090909091,84.09,sent-adv-37,k7t-2,main - 2,vmod-1,adv-1,k7-1,,,,,,,,,,,,,,,,,,,,,,,,,,
undef,1,1,0,0,nmod_relc - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmod,420,3597,0.780952380952381,78.1,vmod -  328,ras-k1 - 12,ccof-9,nmod_k1inv - 8,k7t - 5,adv-5,main-5,lwg_neg-4,lwg_psp-4,pof-4,rh-3,k2 -3,k1u-3,pof_cn -3,rt-2,k5-2,rs-2,k1 - 2,k7p -2,nmod-2,k7-2,rsp-1,k2s-1,lwg_rp-1,k3-1,r6 - 1,lwg_vaux-1,sent-adv-1,nmod_relc-1,nmod_adj-1,rbmod-1,
